view_id,customer_id,product_id,view_datetime,session_id,device_type
1,964,244,2025-09-09 07:51:36.080821,d2784808-d4d3-4613-9094-aebcdc32b413,desktop
2,534,44,2024-12-24 04:58:47.080821,e2a91334-bf18-4479-8a7e-fd0974233274,mobile
3,21,244,2025-03-04 08:12:38.080821,50b9d99b-6c4b-4fd0-badb-2f891eb81260,mobile
4,544,158,2025-06-10 16:29:13.080821,233fd123-a85d-46ca-ab00-778c08aa6e5a,mobile
5,683,195,2025-06-26 19:13:36.080821,e329e831-b4fc-463c-8818-30aff92bf86e,mobile
6,897,142,2024-12-24 18:02:35.080821,e301c5ae-36f7-4d63-8e5c-a2d919efc596,desktop
7,278,279,2025-10-31 20:26:53.080821,2ff3b389-8793-4977-82a4-d8c302d1a9fe,desktop
8,463,48,2025-07-04 02:37:42.080821,d210967a-1a89-4403-be27-a832552971f9,mobile
9,281,273,2025-07-18 06:03:49.080821,5a5417a8-219d-4108-a815-eb3f55bd445a,mobile
10,945,273,2025-07-14 05:19:25.080821,3fe65ecc-8adc-4c7d-b2fe-ce6a4a228fe1,tablet
11,193,198,2024-12-31 08:55:23.080821,78596ce2-ea2a-4331-8f9a-5902411bad06,mobile
12,374,122,2025-01-21 05:24:45.080821,67f80b2e-2fb4-4568-8754-3a674ea4ce56,mobile
13,223,226,2025-03-07 15:28:53.080821,f636fad5-3b1e-41ce-bf30-389240bdefd5,desktop
14,225,207,2025-03-17 10:47:04.080821,a3ae3a47-d60f-4972-af26-ae412c8bb371,tablet
15,767,220,2025-05-21 12:22:13.080821,47c71440-2dfd-4842-8114-42486c17838e,mobile
16,550,161,2025-05-13 08:03:28.080821,273b090a-ea89-4c87-9508-2b5f8bce0639,tablet
17,210,296,2025-04-29 11:59:56.080821,a70696d5-a716-487b-bb78-2d5978b98775,desktop
18,684,9,2025-05-21 06:43:44.080821,dad37c42-932a-48c8-8b7b-f954e1c11efe,desktop
19,198,218,2025-08-01 19:26:04.080821,e0314819-4fb3-4e29-a4a1-bcac12cb781c,desktop
20,642,263,2025-08-31 17:14:38.080821,f64b964b-d25e-4967-86a5-41812b9dac01,desktop
21,684,19,2025-12-01 12:49:13.080821,f0bf0223-8a93-425b-bb69-a76ac487194e,desktop
22,813,250,2025-08-04 22:56:00.080821,51bf791a-7c66-417f-a0c4-b01f1d5398c3,desktop
23,342,298,2025-09-01 22:43:05.080821,a898d2d2-7f0e-4364-8580-c5d28df7eb70,desktop
24,784,58,2025-01-28 07:15:10.080821,f019d47c-0f9c-4d8a-9e29-48ebe2595b85,tablet
25,831,50,2025-03-11 01:01:00.080821,bbec7d7b-6f44-4595-96e2-e363b2110013,mobile
26,995,40,2025-07-29 04:18:09.080821,435404cc-b602-4aa2-8282-850b1ed8b961,tablet
27,371,11,2025-03-22 16:19:12.080821,d55cb33e-7d98-4526-8291-dd803ca84e92,desktop
28,9,43,2025-04-05 16:13:46.080821,e4c94f7e-5496-41ba-8fc1-1c6acc58fe9b,tablet
29,183,44,2025-05-28 23:23:49.080821,e1adb380-eb06-470b-ae85-cc7cb8aa6dda,mobile
30,923,114,2025-10-22 18:50:22.080821,0298da07-c053-4163-bdf2-c52651ae72b7,desktop
31,735,209,2025-02-28 08:15:08.080821,315c9528-e2cf-4be0-970d-bc6981b8f06d,mobile
32,194,242,2025-01-28 03:36:11.080821,e7eca13b-103e-45dd-bbd8-a60869aeca8b,mobile
33,803,187,2025-04-27 16:51:56.080821,7c2994d2-b4bf-40b7-9bd0-b06559acec35,desktop
34,807,9,2025-05-24 23:49:44.080821,8553e6ed-07aa-4fe9-8b6a-4b2c8085a48f,desktop
35,651,194,2025-06-30 21:17:49.080821,4c470237-def3-4719-b00b-90a793553422,tablet
36,583,208,2025-01-22 22:36:22.080821,06d7d227-17ba-469d-871b-8295c2ebd748,desktop
37,158,167,2025-11-18 13:54:27.080821,c1d6ed15-6473-4550-8b8c-e9a2146c5aea,mobile
38,876,166,2025-10-01 20:46:47.080821,12518fcc-7563-458c-b464-a54a6ce1ba7a,mobile
39,128,6,2025-01-07 22:36:55.080821,f1ead1de-4dfd-43c9-a1d5-f0c44d4f2303,desktop
40,403,9,2025-05-04 09:54:19.080821,c6427f45-0292-4b4e-a19e-86dd0a214545,desktop
41,21,73,2024-12-18 15:18:40.080821,f5d7f9fc-4740-4293-a10e-9ce3045c8a34,mobile
42,434,117,2025-01-20 02:59:32.080821,c39cd716-ebd3-47c1-84ae-31b3031d61de,mobile
43,308,299,2025-05-17 09:49:14.080821,8f2be3b7-957f-4f4f-86ab-b96cf34050ea,mobile
44,705,250,2025-11-02 07:12:52.080821,c9f1321c-29b0-4884-a927-c1e508e55d2f,mobile
45,250,220,2025-08-17 16:28:24.080821,74f0e64c-f359-4726-a7a7-582a342af68a,desktop
